10-000-maniacs--a-campfire-song	10,000 Maniacs	A Campfire Song
andre-hazes--de-vlieger	Andre Hazes	De vlieger
andre-hazes--droomland	Andre Hazes	Droomland
andre-hazes--het-is-koud-zonder-jou	Andre Hazes	Het is koud zonder jou
andre-hazes--het-laatste-rondje	Andre Hazes	Het laatste rondje
andre-hazes--ik-dacht-dat-het-uit-was	Andre Hazes	Ik dacht dat het uit was
andre-hazes--ik-meen-t	Andre Hazes	Ik meen 't
andre-hazes--italiaanse-medley	Andre Hazes	Italiaanse medley
andre-hazes--leef-je-uit	Andre Hazes	Leef je uit
andre-hazes--manke-nelis-medley	Andre Hazes	Manke Nelis medley
andre-hazes--medley	Andre Hazes	Medley (Laat de Zon Maar Schijnen De Vakantie Van de Eeuw We Gaan Er Eentje Pakken Zeg Geen Nee Tegen Het Leven Ik Bel Leven Op Het Plein Zomer)
andre-hazes--n-beetje-verliefd	Andre Hazes	'n Beetje verliefd
andre-hazes--terug-in-de-tijd	Andre Hazes	Terug in de tijd
andre-hazes--uit-m-n-bol	Andre Hazes	Uit m'n bol
andre-moss--rosita	Andre Moss	Rosita
andre-van-duin--er-staat-een-paard-in-de-gang	Andre van Duin	Er staat een paard in de gang
andre-van-duin--het-pizzalied	Andre van Duin	Het pizzalied (Effe wachte...)
andre-van-duin--ik-weet-het-niet	Andre van Duin	Ik weet het niet
andrea-bocelli--ave-maria	Andrea Bocelli	Ave Maria
andrea-bocelli--caruso	Andrea Bocelli	Caruso
andrea-bocelli--con-te-partiro	Andrea Bocelli	Con Te Partiro
andrea-bocelli--il-mare-calmo-della-sera	Andrea Bocelli	Il mare calmo della sera
andrea-bocelli--miserere	Andrea Bocelli	Miserere
andrea-bocelli--nel-cuore-lei	Andrea Bocelli	Nel cuore lei
andrea-bocelli--o-mare-e-tu	Andrea Bocelli	'O mare e tu
andrea-bocelli--o-sole-mio	Andrea Bocelli	O sole mio
andrea-bocelli--per-amore	Andrea Bocelli	Per amore
andrea-bocelli--rapsodia	Andrea Bocelli	Rapsodia
andrea-bocelli--romanza	Andrea Bocelli	Romanza
andrea-bocelli--sogno	Andrea Bocelli	Sogno
andrea-bocelli--time-to-say-goodbye	Andrea Bocelli	Time to Say Goodbye
andrea-bocelli--tosca-e-lucevan-le-stelle	Andrea Bocelli	Tosca: "E lucevan le stelle..."
andrea-bocelli--vivere	Andrea Bocelli	Vivere (feat. Andrea Bocelli)
andrea-bocelli--vivo-per-lei	Andrea Bocelli	Vivo Per Lei
andrew-gold--how-can-this-be-love	Andrew Gold	How Can This Be Love
andrew-gold--lonely-boy	Andrew Gold	Lonely Boy
andrew-lloyd-webber--jesus-christ-superstar-overture	Andrew Lloyd Webber	Jesus Christ Superstar Overture
andrew-lloyd-webber--phantom-of-the-opera	Andrew Lloyd Webber	Phantom of the Opera
andrew-lloyd-webber--requiem-pie-jesu	Andrew Lloyd Webber	Requiem: Pie Jesu
andrew-lloyd-webber--the-phantom-of-the-opera-act-ii-the-point-of-no-return	Andrew Lloyd Webber	The Phantom of the Opera: Act II. The Point of No Return (Phantom, Christine)
andy-gibb--shadow-dancing	Andy Gibb	Shadow Dancing
andy-kim--baby-i-love-you	Andy Kim	Baby I Love You
andy-kim--rock-me-gently	Andy Kim	Rock Me Gently
andy-williams--battle-hymn-of-the-republic	Andy Williams	Battle Hymn of the Republic
andy-williams--can-t-get-used-to-losing-you	Andy Williams	Can't Get Used To Losing You
andy-williams--love-story	Andy Williams	(Where Do I Begin) Love Story
andy-williams--macarthur-park	Andy Williams	MacArthur Park
andy-williams--the-impossible-dream	Andy Williams	The Impossible Dream
angelo-branduardi--alla-fiera-dell-est	Angelo Branduardi	Alla fiera dell'est
angelo-branduardi--cogli-la-prima-mela	Angelo Branduardi	Cogli la prima mela
angelo-branduardi--domenica-e-lunedi	Angelo Branduardi	Domenica e lunedi
angelo-branduardi--il-giocatore-di-biliardo	Angelo Branduardi	Il giocatore di biliardo
angelo-branduardi--la-pulce-d-acqua	Angelo Branduardi	La pulce d'acqua
angelo-branduardi--si-puo-fare	Angelo Branduardi	Si puo fare
angelo-branduardi--vanita-di-vanita	Angelo Branduardi	Vanita di vanita
anggun--a-rose-in-the-wind	Anggun	A Rose in the Wind (Chris Lord-Alge remix)
anggun--snow-on-the-sahara	Anggun	Snow on the Sahara
animotion--obsession	Animotion	Obsession
anita-baker--caught-up-in-the-rapture	Anita Baker	Caught Up In The Rapture
anita-baker--giving-you-the-best-that-i-got	Anita Baker	Giving You The Best That I Got
anita-baker--sweet-love	Anita Baker	Sweet Love
anita-meyer--sometimes-when-we-touch	Anita Meyer	Sometimes When We Touch
anita-ward--ring-my-bell	Anita Ward	Ring My Bell
anka-paul--diana	ANKA PAUL	Diana (feat. Ricky Martin)
ann-farina--sleepwalk	Ann Farina	Sleepwalk
ann-peebles--come-to-mama	Ann Peebles	Come to Mama
ann-peebles--i-can-t-stand-the-rain	Ann Peebles	I Can't Stand The Rain
anna-oxa--a-lei	Anna Oxa	A lei
anna-oxa--camminando-camminando	Anna Oxa	Camminando camminando
anna-oxa--come-dirsi-ciao	Anna Oxa	Come dirsi ciao
anna-oxa--donna-con-te	Anna Oxa	Donna con te
anna-oxa--e-tutto-un-attimo	Anna Oxa	E tutto un attimo
anna-oxa--medley	Anna Oxa	Medley
anna-oxa--mezzo-angolo-di-cielo	Anna Oxa	Mezzo angolo di cielo
anna-oxa--quando-nasce-un-amore	Anna Oxa	Quando nasce un amore
anna-oxa--senza-di-me	Anna Oxa	Senza di Me
anna-oxa--senza-pieta	Anna Oxa	Senza pieta
anna-oxa--spot	Anna Oxa	Spot
anna-oxa--storie	Anna Oxa	Storie
anna-oxa--ti-lascero	Anna Oxa	Ti Lascero
anna-oxa--tutti-i-brividi-del-mondo	Anna Oxa	Tutti i Brividi del Mondo
anna-oxa--un-emozione-da-poco	Anna Oxa	Un'emozione da poco
anna-oxa--un-emozione-da-poco-pagliaccio	Anna Oxa	Un Emozione da Poco - Pagliaccio
anne-murray--could-i-have-this-dance	Anne Murray	Could I Have This Dance
anne-murray--daydream-believer	Anne Murray	Daydream Believer
anne-murray--love-song	Anne Murray	Love Song
anne-murray--snowbird	Anne Murray	Snowbird
anne-murray--you-needed-me	Anne Murray	You Needed Me
annie-cordy--frida-oum-papa	Annie Cordy	Frida oum papa
annie-cordy--hello-dolly	Annie Cordy	Hello Dolly
annie-cordy--hello-le-soleil-brille	Annie Cordy	Hello le soleil brille
annie-cordy--tata-yoyo	Annie Cordy	Tata Yoyo
annie-lennox--angel	Annie Lennox	Angel
annie-lennox--don-t-ask-me-why	Annie Lennox	Don't Ask Me Why
annie-lennox--here-comes-the-rain-again	Annie Lennox	Here Comes the Rain Again
annie-lennox--it-s-alright	Annie Lennox	It's Alright (Baby's Comin' Back)
annie-lennox--missionary-man	Annie Lennox	Missionary Man
annie-lennox--no-more-i-love-you-s	Annie Lennox	No More "I Love You"s
annie-lennox--put-a-little-love-in-your-heart	Annie Lennox	Put a Little Love in Your Heart
annie-lennox--september-in-the-rain	Annie Lennox	September in the Rain
annie-lennox--sweet-dreams	Annie Lennox	Sweet Dreams
annie-lennox--there-must-be-angel	Annie Lennox	There Must Be Angel (Playing With My Heart)
annie-lennox--walking-on-broken-glass	Annie Lennox	Walking On Broken Glass
annie-lennox--would-i-lie-to-you	Annie Lennox	Would I Lie to You?
another-level--freak-me	Another Level	Freak Me
another-level--i-want-you-for-myself	Another Level	I Want You for Myself
anthony-richard--sunny	Anthony Richard	Sunny
antoine--les-elucubrations	Antoine	Les elucubrations
antoine--pietre	Antoine	Pietre
antoine--taxi	Antoine	Taxi
antonello-venditti--alta-marea	Antonello Venditti	Alta marea
antonello-venditti--amici-mai	Antonello Venditti	Amici mai
antonello-venditti--benvenuti-in-paradiso	Antonello Venditti	Benvenuti in paradiso
antonello-venditti--bomba-o-non-bomba	Antonello Venditti	Bomba o non bomba
antonello-venditti--buona-domenica	Antonello Venditti	Buona domenica
antonello-venditti--campo-de-fiori	Antonello Venditti	Campo de' fiori
antonello-venditti--che-tesoro-che-sei	Antonello Venditti	Che tesoro che sei
antonello-venditti--ci-vorrebbe-un-amico	Antonello Venditti	Ci vorrebbe un amico
antonello-venditti--compagno-di-scuola	Antonello Venditti	Compagno di scuola
antonello-venditti--dimmelo-tu-cos-e	Antonello Venditti	Dimmelo Tu Cos'e
antonello-venditti--dimmi-che-credi	Antonello Venditti	Dimmi che credi
antonello-venditti--giulio-cesare	Antonello Venditti	Giulio Cesare
antonello-venditti--grazie-roma	Antonello Venditti	Grazie Roma
antonello-venditti--in-questo-mondo-che-non-puoi-capire	Antonello Venditti	In questo mondo che non puoi capire
antonello-venditti--in-questo-mondo-di-ladri	Antonello Venditti	In questo mondo di ladri
antonello-venditti--l-ottimista	Antonello Venditti	L'ottimista
antonello-venditti--le-tue-mani-su-di-me	Antonello Venditti	Le tue mani su di me
antonello-venditti--lilly	Antonello Venditti	Lilly
antonello-venditti--mitico-amore	Antonello Venditti	Mitico amore
antonello-venditti--notte-prima-degli-esami	Antonello Venditti	Notte prima degli esami
antonello-venditti--ogni-volta	Antonello Venditti	Ogni volta
antonello-venditti--peppino	Antonello Venditti	Peppino
antonello-venditti--piero-e-cinzia	Antonello Venditti	Piero e Cinzia
antonello-venditti--prendilo-tu-questo-frutto-amaro	Antonello Venditti	Prendilo tu questo frutto amaro
antonello-venditti--ricordati-di-me	Antonello Venditti	Ricordati di me
antonello-venditti--roma-capoccia	Antonello Venditti	Roma capoccia
antonello-venditti--sara	Antonello Venditti	Sara
antonello-venditti--settembre	Antonello Venditti	Settembre
antonello-venditti--sotto-il-segno-dei-pesci	Antonello Venditti	Sotto il segno dei pesci
antonello-venditti--sotto-la-pioggia	Antonello Venditti	Sotto la pioggia
antonello-venditti--stai-con-me	Antonello Venditti	Stai con me
antonello-venditti--stella	Antonello Venditti	Stella
antonello-venditti--vento-selvaggio	Antonello Venditti	Vento selvaggio
antonio-carlos--insensatez	Antonio Carlos	Insensatez (How Insensitive)
anx--the-narrow-path	Anx	The narrow path
aphrodite-s-child--rain-and-tears	Aphrodite's Child	Rain and Tears
apollo-100--besame-mucho	Apollo 100	Besame Mucho
aqua--barbie-girl	Aqua	Barbie Girl
aqua--cartoon-heroes	Aqua	Cartoon Heroes
aqua--doctor-jones	Aqua	Doctor Jones
aqua--dr-jones	Aqua	Dr Jones
aqua--good-morning-sunshine	Aqua	Good Morning Sunshine
aqua--lollipop	Aqua	Lollipop (Candyman)
aqua--my-oh-my	Aqua	My Oh My
aqua--roses-are-red	Aqua	Roses Are Red
aqua--turn-back-time	Aqua	Turn Back Time
arabesque--take-me-don-t-break-me	Arabesque	Take Me Don't Break Me
aretha-franklin--chain-of-fools	Aretha Franklin	Chain Of Fools
aretha-franklin--i-never-loved-a-man	Aretha Franklin	I Never Loved A Man (The Way I Love You)
aretha-franklin--natural-woman	Aretha Franklin	(You Make Me Feel Like a) Natural Woman
aretha-franklin--oh-me-oh-my	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)
aretha-franklin--pink-cadillac	Aretha Franklin	Pink Cadillac
aretha-franklin--respect	Aretha Franklin	Respect
aretha-franklin--think	Aretha Franklin	Think
armani--solo-con-l-anima-mia	Armani	Solo con l'anima mia
armstrong-louis--c-est-si-bon	ARMSTRONG LOUIS	C'est si bon
armstrong-louis--hello-dolly	ARMSTRONG LOUIS	Hello, Dolly!
armstrong-louis--la-vie-en-rose	ARMSTRONG LOUIS	La Vie en rose
armstrong-louis--wonderful-world	ARMSTRONG LOUIS	(What a) Wonderful World
army-of-lovers--israelism	Army of Lovers	Israelism
arrested-development--everyday-people	Arrested Development	Everyday People
arrested-development--mr-wendal	Arrested Development	Mr Wendal
arrested-development--people-everyday	Arrested Development	People Everyday
art-of-noise--moments-in-love	Art of Noise	Moments In Love
arthur-conley--sweet-soul-music	Arthur Conley	Sweet Soul Music
articolo-31--aria	Articolo 31	Aria
articolo-31--domani-smetto	Articolo 31	Domani smetto
articolo-31--tranqi-funky	Articolo 31	Tranqi Funky
asia--don-t-cry	Asia	Don't Cry
asia--heart-of-the-moment	Asia	Heart of the Moment
asia--only-time-will-tell	Asia	Only Time Will Tell
asia--the-smile-has-left-your-eyes	Asia	The Smile Has Left Your Eyes
assekruus--slavenkoor-carnavalesque	Assekruus	Slavenkoor Carnavalesque
assia--elle-est-a-toi	Assia	Elle Est a Toi
assia--la-bas	Assia	La-Bas
astrud-gilberto--once-i-loved	Astrud Gilberto	Once I Loved
astrud-gilberto--the-girl-from-ipanema	Astrud Gilberto	The Girl From Ipanema (Garota de Ipanema)
aswad--don-t-turn-around	Aswad	Don't Turn Around
aswad--shine	Aswad	Shine
atkins-chet--detroit-city	Atkins Chet	Detroit City
atkins-chet--georgia-on-my-mind	Atkins Chet	Georgia on My Mind
atkins-chet--on-the-road-again	Atkins Chet	On the Road Again
atkins-chet--pickin-my-way	Atkins Chet	Pickin' My Way
atkins-chet--rocky-top	Atkins Chet	Rocky Top
atkins-chet--steel-guitar-rag	Atkins Chet	Steel Guitar Rag
atkins-chet--sweet-georgia-brown	Atkins Chet	Sweet Georgia Brown
atkins-chet--yakety-sax	Atkins Chet	Yakety Sax
atlanta-rhythm-section--imaginary-lover	Atlanta Rhythm Section	Imaginary Lover
atlanta-rhythm-section--so-in-to-you	Atlanta Rhythm Section	So in to You
atlantic-ocean--waterfall	Atlantic Ocean	Waterfall
atlantic-starr--always	Atlantic Starr	Always
atlantic-starr--i-ll-remember-you	Atlantic Starr	I'll Remember You
atlantic-starr--secret-lovers	Atlantic Starr	Secret Lovers
atomic-kitten--it-s-ok	Atomic Kitten	It's OK
atomic-kitten--the-tide-is-high	Atomic Kitten	The Tide Is High
attila--burn-it-down	Attila	Burn It Down
attila--the-iron-man-of-rap	Attila	The Iron Man of Rap
au-bonheur-des-dames--oh-les-filles	Au bonheur des dames	Oh ! les filles
average-white-band--cut-the-cake	Average White Band	Cut the Cake
average-white-band--pick-up-the-pieces	Average White Band	Pick Up The Pieces
axelle-red--amoureuse-ou-pas	Axelle Red	Amoureuse Ou Pas
axelle-red--ce-matin	Axelle Red	Ce Matin
axelle-red--je-t-attends	Axelle Red	Je t'attends
axelle-red--le-monde-tourne-mal	Axelle Red	Le Monde Tourne Mal
axelle-red--parce-que-c-est-toi	Axelle Red	Parce Que C'Est Toi
axelle-red--rester-femme	Axelle Red	Rester femme
axelle-red--rien-que-d-y-penser	Axelle Red	Rien Que D'y Penser
axelle-red--sensualite	Axelle Red	Sensualite
b-b-king--b-b-boogie	B.B. King	B. B. Boogie
b-b-king--don-t-answer-the-door	B.B. King	Don't Answer the Door
b-b-king--how-blue-can-you-get	B.B. King	How Blue Can You Get
b-b-king--into-the-night	B.B. King	Into The Night
b-b-king--sweet-sixteen	B.B. King	Sweet Sixteen
b-b-king--the-thrill-is-gone	B.B. King	The Thrill Is Gone
b-b-king--to-know-you-is-to-love-you	B.B. King	To Know You Is to Love You
b-b-king--why-i-sing-the-blues	B.B. King	Why I Sing the Blues
b-g-the-prince-of-rap--the-colour-of-my-dreams	B.G. The Prince of Rap	The Colour of My Dreams (Dream-In'-House-mix)
b-j-thomas--hooked-on-a-feeling	B.J. Thomas	Hooked On A Feeling
b-w-stevenson--my-maria	B.W. Stevenson	My Maria
b-witched--blame-it-on-the-weatherman	B*Witched	Blame It on the Weatherman
b-witched--c-est-la-vie	B*Witched	C'Est La Vie
b-witched--jesse-hold-on	B*Witched	Jesse Hold On
b-witched--jump-down	B*Witched	Jump Down
b-witched--let-s-go	B*Witched	Let's Go (The B*Witched Jig)
b-witched--to-you-i-belong	B*Witched	To You I Belong
baby-d--let-me-be-your-fantasy	Baby D	Let Me Be Your Fantasy
babyface--change-the-world	Babyface	Change the World
babyface--everytime-i-close-my-eyes	Babyface	Everytime I Close My Eyes
babyface--the-day	Babyface	The Day (That You Gave Me a Son)
babyface--when-can-i-see-you-again	Babyface	When Can I See You Again
babylon-zoo--spaceman	Babylon Zoo	Spaceman
baccara--yes-sir-i-can-boogie	Baccara	Yes Sir I Can Boogie
bach-johann-sebastian--2-part-invention-no-1-in-c-major-bwv-772	Bach Johann Sebastian	2-Part Invention No. 1 in C major, BWV 772
bach-johann-sebastian--2-part-invention-no-4-in-d-minor-bwv-775	Bach Johann Sebastian	2-Part Invention No. 4 in D minor, BWV 775
bach-johann-sebastian--2-part-invention-no-8-in-f-major-bwv-779	Bach Johann Sebastian	2-Part Invention No. 8 in F major, BWV 779
bach-johann-sebastian--air-on-the-g-string	Bach Johann Sebastian	Air On The G String
bach-johann-sebastian--aria-from-the-goldberg-variations-bwv-988	Bach Johann Sebastian	Aria From the Goldberg Variations, BWV 988
bach-johann-sebastian--bach	Bach Johann Sebastian	Bach
bach-johann-sebastian--badinerie	Bach Johann Sebastian	Badinerie
bach-johann-sebastian--brandenburg-concerto-no-2-in-f-major-bwv-1047-iii-allegro-as	Bach Johann Sebastian	Brandenburg Concerto No. 2 in F major, BWV 1047: III. Allegro assai
bach-johann-sebastian--brandenburgisches-konzert-nr-1-f-dur-bwv-1046-iv-menuet-trio	Bach Johann Sebastian	Brandenburgisches Konzert Nr. 1 F-Dur, BWV 1046: IV. Menuet - Trio - Menuet - Polonaise - Menuet - Trio - Menuet
bach-johann-sebastian--clavier-buchlein-fur-anna-magdalena-bach-1725-aria-g-dur-bwv	Bach Johann Sebastian	Clavier-buchlein fur Anna Magdalena Bach 1725: Aria G-Dur, BWV 988 1
bach-johann-sebastian--concerto-for-2-violins-in-d-minor	Bach Johann Sebastian	Concerto for 2 violins in D minor (Il Largo)
bach-johann-sebastian--concerto-pour-orgue-seul-en-fa-majeur-bwv-978-i-allegro	Bach Johann Sebastian	Concerto pour orgue seul en fa majeur, BWV 978: I. Allegro
bach-johann-sebastian--flute-sonata-in-b-minor-bwv-1030-i-andante	Bach Johann Sebastian	Flute Sonata in B minor, BWV 1030: I. Andante
bach-johann-sebastian--franzosische-suite-nr-5-bwv-816-gigue	Bach Johann Sebastian	Franzosische Suite Nr. 5, BWV 816, Gigue
bach-johann-sebastian--fugue	Bach Johann Sebastian	Fugue
bach-johann-sebastian--fugue-14-f-minor	Bach Johann Sebastian	Fugue 14 F# Minor
bach-johann-sebastian--fugue-16-g-minor	Bach Johann Sebastian	Fugue 16 G Minor
bach-johann-sebastian--fugue-18-g-minor	Bach Johann Sebastian	Fugue 18 G# Minor
bach-johann-sebastian--fugue-22-b-flat-minor	Bach Johann Sebastian	Fugue 22 B Flat Minor
bach-johann-sebastian--fugue-24-b-minor	Bach Johann Sebastian	Fugue 24 B Minor
bach-johann-sebastian--fugue-in-g	Bach Johann Sebastian	Fugue in G
bach-johann-sebastian--gavotte	Bach Johann Sebastian	Gavotte
bach-johann-sebastian--invention	Bach Johann Sebastian	Invention
bach-johann-sebastian--italian-concerto-allegro	Bach Johann Sebastian	Italian Concerto: Allegro
bach-johann-sebastian--italian-concerto-bwv-971-andante	Bach Johann Sebastian	Italian Concerto BWV 971: Andante
bach-johann-sebastian--italian-concerto-presto	Bach Johann Sebastian	Italian Concerto - Presto
bach-johann-sebastian--jesus-bleibet-meine-freude	Bach Johann Sebastian	Jesus bleibet meine Freude (Herz und Mund und Tat und Leben BWV. 147)
bach-johann-sebastian--lukas-passion-bwv-246-96-chorale-derselbe-mein-herr-jesu-chr	Bach Johann Sebastian	Lukas Passion, BWV 246: 96. Chorale "Derselbe mein Herr Jesu Christ"
bach-johann-sebastian--march-in-d-major	Bach Johann Sebastian	March in D major (C.P.E. Bach)
bach-johann-sebastian--menuet	Bach Johann Sebastian	Menuet (From Anna Magdelena)
bach-johann-sebastian--menuet-g-dur-bwv-anh	Bach Johann Sebastian	Menuet G-dur, BWV Anh
bach-johann-sebastian--menuet-in-g-major	Bach Johann Sebastian	Menuet in G-Major
bach-johann-sebastian--minuetto-in-sol-magg-bwv-app-114	Bach Johann Sebastian	Minuetto in sol magg. BWV App. 114
bach-johann-sebastian--musette-bwv-anh	Bach Johann Sebastian	Musette BWV Anh
bach-johann-sebastian--orchestersuite-nr-2-5-polonaise	Bach Johann Sebastian	Orchestersuite Nr. 2   5. Polonaise
bach-johann-sebastian--orchestral-suite-no-4-in-d-major-bwv-1069-iii-gavotte	Bach Johann Sebastian	Orchestral Suite No. 4 in D major, BWV 1069: III. Gavotte
bach-johann-sebastian--partita-no-1-in-b-flat-major-bwv-825-vi-gigue	Bach Johann Sebastian	Partita No. 1 in B-flat major, BWV 825: VI. Gigue
bach-johann-sebastian--prelude-in-c-major	Bach Johann Sebastian	Prelude in C Major
bach-johann-sebastian--prelude-in-g	Bach Johann Sebastian	Prelude in G
bach-johann-sebastian--sarabande	Bach Johann Sebastian	Sarabande
bach-johann-sebastian--sheep-may-safely-graze	Bach Johann Sebastian	Sheep May Safely Graze
bach-johann-sebastian--sinfonia	Bach Johann Sebastian	Sinfonia
bach-johann-sebastian--suite-pour-orchestre-no-2-en-si-mineur-bwv-1067-ii-rondo	Bach Johann Sebastian	Suite pour orchestre No. 2 en Si mineur, BWV 1067: II. Rondo
